,Year,Month,DayOfYear,Date,Weekday,Hour,Price ($ per MWh),Price (cents per kWh)
0,2018,1,1,2018-01-01,1,0,127.15636363636364,12.715636363636364
1,2018,1,1,2018-01-01,1,1,128.91583333333332,12.891583333333333
2,2018,1,1,2018-01-01,1,2,131.33166666666668,13.133166666666668
3,2018,1,1,2018-01-01,1,3,136.9225,13.692250000000001
4,2018,1,1,2018-01-01,1,4,125.94166666666666,12.594166666666666
5,2018,1,1,2018-01-01,1,5,122.99666666666667,12.299666666666667
6,2018,1,1,2018-01-01,1,6,128.565,12.8565
7,2018,1,1,2018-01-01,1,7,129.83428571428573,12.983428571428574
8,2018,1,1,2018-01-01,1,8,341.3335714285714,34.13335714285714
9,2018,1,1,2018-01-01,1,9,364.6408333333334,36.46408333333334
10,2018,1,1,2018-01-01,1,10,162.7392857142857,16.27392857142857
11,2018,1,1,2018-01-01,1,11,136.59416666666667,13.659416666666667
12,2018,1,1,2018-01-01,1,12,144.94583333333333,14.494583333333333
13,2018,1,1,2018-01-01,1,13,142.44333333333333,14.244333333333334
14,2018,1,1,2018-01-01,1,14,144.92916666666667,14.492916666666668
15,2018,1,1,2018-01-01,1,15,140.02166666666668,14.002166666666668
16,2018,1,1,2018-01-01,1,16,202.3116666666667,20.23116666666667
17,2018,1,1,2018-01-01,1,17,235.25428571428571,23.525428571428574
18,2018,1,1,2018-01-01,1,18,238.23749999999998,23.82375
19,2018,1,1,2018-01-01,1,19,184.70166666666668,18.470166666666668
20,2018,1,1,2018-01-01,1,20,200.07000000000002,20.007000000000005
21,2018,1,1,2018-01-01,1,21,166.41833333333332,16.641833333333334
22,2018,1,1,2018-01-01,1,22,139.79416666666665,13.979416666666665
23,2018,1,1,2018-01-01,1,23,123.68083333333334,12.368083333333335
24,2018,1,2,2018-01-02,2,0,130.16666666666666,13.016666666666666
25,2018,1,2,2018-01-02,2,1,103.295,10.329500000000001
26,2018,1,2,2018-01-02,2,2,121.58333333333333,12.158333333333333
27,2018,1,2,2018-01-02,2,3,112.34166666666665,11.234166666666667
28,2018,1,2,2018-01-02,2,4,122.39833333333333,12.239833333333333
29,2018,1,2,2018-01-02,2,5,130.375,13.037500000000001
30,2018,1,2,2018-01-02,2,6,326.8175,32.68175
31,2018,1,2,2018-01-02,2,7,212.2025,21.22025
32,2018,1,2,2018-01-02,2,8,149.15,14.915000000000001
33,2018,1,2,2018-01-02,2,9,149.15833333333333,14.915833333333333
34,2018,1,2,2018-01-02,2,10,308.2146153846154,30.82146153846154
35,2018,1,2,2018-01-02,2,11,211.0442857142857,21.10442857142857
36,2018,1,2,2018-01-02,2,12,159.15083333333334,15.915083333333335
37,2018,1,2,2018-01-02,2,13,145.66833333333332,14.566833333333333
38,2018,1,2,2018-01-02,2,14,154.38500000000002,15.438500000000003
39,2018,1,2,2018-01-02,2,15,162.48749999999998,16.248749999999998
40,2018,1,2,2018-01-02,2,16,168.88666666666668,16.88866666666667
41,2018,1,2,2018-01-02,2,17,188.5275,18.85275
42,2018,1,2,2018-01-02,2,18,241.79642857142858,24.17964285714286
43,2018,1,2,2018-01-02,2,19,189.44333333333336,18.944333333333336
44,2018,1,2,2018-01-02,2,20,165.32250000000002,16.53225
45,2018,1,2,2018-01-02,2,21,163.63,16.363
46,2018,1,2,2018-01-02,2,22,138.94333333333333,13.894333333333334
47,2018,1,2,2018-01-02,2,23,128.979375,12.897937500000001
48,2018,1,3,2018-01-03,3,0,132.66083333333333,13.266083333333334
49,2018,1,3,2018-01-03,3,1,143.0925,14.30925
50,2018,1,3,2018-01-03,3,2,123.39916666666666,12.339916666666667
